"","Timestamp","Email Address","Food Pantry Name:","address","city","state","zip","Contact's Name:","Contact's Email Address:","WSDA/EFAP Lead Agency (e.g. Emergency Food Network):","Average number of clients served per month:","Hours and days of operation:","Estimated total food storage space in square feet:","Estimated warehouse or offsite storage if different than distribution space:","Do you have adequate shelving for storage and distribution?","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Fresh]","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Frozen]","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Dry]","What type of food would you like to receive more of? (choose all that apply)","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Fresh]","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Frozen]","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Dry]","If yes, how many times in the past year have you refused donations you otherwise would have accepted?","Please give a few examples of donations you refused due to lack of storage over the past year.","How many reach-in commercial refrigerators do you have?","How many walk-in commercial refrigerators do you have?","How many home refrigerator/freezer combinations do you have?","How many reach-in commercial freezers do you have?","How many walk-in commercial freezers do you have?","How many home freezers do you have?","How many locker freezers do you have?","What equipment are you missing? (choose all that apply)","want_fork","want_jack","want_comp","want_tran","What capacity-related improvement would have the biggest impact on your work?","location","lat","lon"
"11",2018-01-11 08:41:20,"svneighborsinneed@gmail.com","Skagit Valley Neighbors In Need","1615 S Second St, Mount Vernon, WA, 98273","Mount Vernon","WA",98273,"Steve  Fox","same","Food Bank",2500,"Option 1",1200,NA,"No",7,9,5,"Fresh","No","No","No",NA,NA,3,2,1,0,0,9,0,NA,NA,NA,NA,NA,"Shelving, big Freezers. We have an account with the local Cold Storage for our bulk freezer items.","list(lat = 48.409833, lng = -122.3382769)","48.409833,","122.3382769)"
"12",2018-01-11 11:20:15,"llaing@hopelink.org","Hopelink Redmond","16725 Cleveland Street, Redmond, WA, 98052","Redmond","WA",98052,"Lauren Laing","llaing@hopelink.org","Scott Milne",1500,"Option 1",NA,NA,"Yes",7,9,8,"Fresh","No","No","No",NA,NA,1,1,0,0,1,0,0,"Computers or Software",NA,NA,1,NA,"More shelving, better and more trucks, bigger fridge and freezers","list(lat = 47.671855, lng = -122.116654)","47.671855,","122.116654)"
"13",2018-01-11 11:35:32,"tkosderk@gmail.com","St. Vincent de Paul Brush Prairie","11607 NE 87th Ave, Vancouver, WA, 98662","Vancouver","WA",98662,"Tim Kosderka","tkosderk@gmail.com",NA,100,"Option 1",600,NA,"Yes",6,7,6,"Fresh, Dry","No","No","No",NA,NA,1,0,1,2,0,6,1,"Computers or Software, Transportation (ex. truck or van)",NA,NA,1,1,"Larger Pantry, waiting room, office, bathroom, private client conference room,walk-in cooler and freezer","list(lat = 45.705929, lng = -122.582421)","45.705929,","122.582421)"
"14",2018-01-11 11:36:58,"rpmwells@q.com","Saint Vincent DePaul, Brush Prairie","8701 NE 119th St, Vancouver, WA, 98662","Vancouver","WA",98662,"Patricia  Wells","rpmwells@q.com","Emergency Food Network",1400,"Option 1",250,"Option 1","No",5,5,8,"Fresh","No","No","No",NA,NA,1,0,1,2,0,8,0,"Transportation (ex. truck or van)",NA,NA,NA,1,"We could use a facility that had more square footage for our operation.  Could use a new refrigerator to replace a very old model inside our building.","list(lat = 45.707101, lng = -122.5831426)","45.707101,","122.5831426)"
"15",2018-01-11 11:53:54,"rkthomp@hctc.com","hood canal food bank","331 N Finch Creek Rd, Hoodsport, WA, 98548","Hoodsport","WA",98548,"Kathy Roberson","rkthomp@hctc.com","Community Action Council",600,"Option 1",1000,"Option 1","Yes",7,8,8,"Fresh, Frozen, Dry","No","No","No",NA,NA,5,0,2,0,1,7,0,"Forklift",1,NA,NA,NA,"walk in fridge","list(lat = 47.4060377, lng = -123.1463346)","47.4060377","-123.1463346"
"16",2018-01-11 14:42:55,"jc@premierforestproducts.com","Quinault Valley Food Bank","31 Burn Rd, Neilton, WA, 98566","Neilton","WA",98566,"Jim Carlson","jc@premierforestproducts.com","Coastal Harvest",275,"Option 1",1000,NA,"No",7,7,7,"Frozen","No","No","No",0,"na",2,1,0,0,1,2,0,"Forklift, Shelving need to replace one freezer",1,NA,NA,NA,"Truck upgrades/repair and operations budget","list(lat = 47.403255, lng = -123.883917)","47.403255,","123.883917)"
"17",2018-01-11 15:17:06,"sheryl.piercy@usw.salvationarmy.org","The Salvation Army","832 6th St, Bremerton, WA, 98337","Bremerton","WA",98337,"Sheryl A. Piercy","sheryl.piercy@usw.salvationarmy.org","St. Vincent de Paul",450,"Option 1",1500,"Option 1","Yes",7,10,5,"Fresh, Frozen, Dry","No","No","No",0,"NA",7,2,0,3,2,0,0,"Forklift",1,NA,NA,NA,"An electric pallet jack.","list(lat = 47.5674961, lng = -122.6320456)","47.5674961","-122.6320456"
"18",2018-01-12 08:21:04,"beth.kennard@usw.salvationarmy.org","The Salvation Army","7509 NE 47th Ave, Vancouver, WA, 98661","Vancouver","WA",98661,"Beth Kennard","Beth.kennard@usw.salvation",NA,NA,"Option 1",2000,NA,"No",6,6,3,"Fresh, Frozen, Dry","No","No","No",NA,NA,3,0,0,0,0,3,0,NA,NA,NA,NA,NA,"Bigger space to improve how we distribute food to families.  Better layout to help the families come in and shop for the foods they are most interested in.","list(lat = 45.6767097, lng = -122.6224919)","45.6767097","-122.6224919"
"19",2018-01-12 09:00:48,"saintspantry@gmail.com","The Saints Pantry Food Bank","214 S 2nd St, Shelton, WA, 98584","Shelton","WA",98584,"Judith Batstone","saintspantry@gmail.com","Community Action Council",3970,"Option 1",1000,NA,"Yes",9,8,8,"Fresh","No","No","No",NA,NA,0,1,0,0,1,6,0,"Forklift",1,NA,NA,NA,"Our space it the biggest limitation.  We are looking for a larger location.","list(lat = 47.2117614, lng = -123.1014997)","47.2117614","-123.1014997"
"20",2018-01-12 10:36:35,"johnp@occac.com","Okanogan Food Pantry","424 2nd Ave S, Okanogan, WA, 98840","Okanogan","WA",98840,"John Perry","johnp@occac.com","Okanogan County Community Action",1620,"Option 1",6000,"Option 1","No",9,8,6,"Fresh, Frozen, Dry","No","No","No",NA,NA,0,1,1,0,1,0,0,"Outdoor rated forklift to move product to and from second warehouse",1,NA,NA,NA,"More shelving would help","list(lat = 48.3619489, lng = -119.5834772)","48.3619489","-119.5834772"
"21",2018-01-12 10:42:31,"andrea@welcometoonelife.com","One Life","1801 Daniels St, Vancouver, WA, 98660","Vancouver","WA",98660,"Andrea Walker","andrea@welcometoonelife.com","Clark County Food Bank",916,"Option 1",800,NA,"No",7,9,8,"Fresh, Frozen, Dry","Yes","Yes","No",15,"frozen foods, frozen vegetables,",3,0,0,2,0,1,0,"Computers or Software, scale",NA,NA,1,NA,"more computers , a way to increase capacity for fresh food displays","list(lat = 45.6352968, lng = -122.6744631)","45.6352968","-122.6744631"
"22",2018-01-12 11:19:58,"ken@alvalou.com","Matlock Community Church","218 W Matlock Brady Rd, Matlock, WA, 98560","Matlock","WA",98560,"Ken Ford","ken@alvalou.com","Community Action Council",1000,NA,1500,NA,"No",4,7,5,"Fresh, Frozen, Dry","No","No","No",NA,NA,1,0,6,0,0,10,0,"walk in freezer and refridgerator",NA,NA,NA,NA,"Walk in cooler and freezer","list(lat = 47.2357727, lng = -123.4073946)","47.2357727","-123.4073946"
"23",2018-01-12 13:31:48,"howell_clz@yahoo.com","Lewis River Mobile Food Bank","38615 NE 41st Ave, La Center, WA, 98629","La Center","WA",98629,"Candice Howell","howell_clz@yahoo.com","Clark County Food Bank",300,"Option 1",2116,"Option 1","Yes",3,6,5,"Fresh","No","No","No",NA,NA,3,NA,NA,1,NA,2,NA,"Transportation (ex. truck or van)",NA,NA,NA,1,"A larger food trailer and heavy duty truck would allow us to haul more food to our distribution sites.","list(lat = 45.900596, lng = -122.628414)","45.900596,","122.628414)"
"24",2018-01-12 13:40:25,"andrea.leal@usw.salvationarmy.org","The Salvation Army","120 W Wishkah St, Aberdeen, WA, 98520","Aberdeen","WA",98520,"Andrea Leal","andrea.leal@usw.salvationarmy.org","Coastal Harvest",1600,"Option 1",NA,NA,"Yes",5,8,7,"Fresh, Frozen, Dry","No","No","No",NA,NA,1,1,0,1,0,0,5,NA,NA,NA,NA,NA,"More freezer space. We are currently on improvements to our food bank.","list(lat = 46.9738876, lng = -123.8190028)","46.9738876","-123.8190028"
"25",2018-01-12 14:03:06,"bramst1@aol.com","Aberdeen Community Food Bank","306 1/2 North I Street, Aberdeen, WA, 98520","Aberdeen","WA",98520,"K Bramstedt","bramst1@aol.com","Coastal Harvest",1200,"Option 1",36,NA,"Yes",7,9,5,"Fresh, Dry","Yes","No","No",NA,"fresh vegetables/fruits that need cold storage",1,0,1,0,0,7,0,"Forklift, Computers or Software, Transportation (ex. truck or van), it would be helpful to have another cooler",1,NA,1,1,"commercial cooler for more fresh food storage.","list(lat = 46.9775366, lng = -123.8193861)","46.9775366","-123.8193861"
"26",2018-01-12 14:52:20,"hoquiamfoodbank@comcast.net","HOQUIAM FOOD & CLOTHING BANK","720 K St, Hoquiam, WA, 98550","Hoquiam","WA",98550,"SUZI SCHOMAKER, MANAGER","AS ABOVE","Coastal Harvest",490,"Option 1",NA,"Option 1","Yes",6,6,4,"Fresh, Frozen, Dry","No","Yes","No",2,"frozen foods",NA,1,2,NA,1,0,0,NA,NA,NA,NA,NA,"upright freeze","list(lat = 46.9760643, lng = -123.8863064)","46.9760643","-123.8863064"
"27",2018-01-12 18:25:13,"goldberg.mm@gmail.com","Ocean Park Food Bank","1601 Bay Ave, Ocean Park, WA, 98640","Ocean Park","WA",98640,"Michael Goldberg","goldberg.mm@gmail.com","Coastal Harvest",1275,"Option 1",1200,"Option 1","No",4,5,9,"Frozen, Dry","No","No","No",NA,NA,0,1,3,0,0,14,0,"Computers or Software, Transportation (ex. truck or van)",NA,NA,1,1,"larger floor space","list(lat = 46.4917299, lng = -124.0485699)","46.4917299","-124.0485699"
"28",2018-01-13 10:03:18,"sam@rvfb.org","Rainier Valley Food Bank","4205 Rainier Ave S, Seattle, WA, 98118","Seattle","WA",98118,"Sam Osborne","sam@rvfb.org","Solid Ground",24000,"Option 1",600,"Option 1","No",10,10,4,"Fresh, Dry","Yes","Yes","No",6,"Pallets of lettuce, and other last-minute large-scale donations of fresh produce",1,1,0,0,1,0,0,"Pallet Jack, Computers or Software, Transportation (ex. truck or van)",NA,1,1,1,"More physical space","list(lat = 47.5653184, lng = -122.2889409)","47.5653184","-122.2889409"
"29",2018-01-13 15:42:52,"director@snoqualmievalleyfoodbank.org","Snoqualmie Valley Food Bank","122 E 3rd St, North Bend, WA, 98045","North Bend","WA",98045,"Heidi Dukich","director@snoqualmievalleyfoodbank.org","Hopelink",1000,"Option 1",1000,"Option 1","No",5,6,5,"Fresh, Frozen","No","Yes","No",1.5,"Frozen Meat",NA,3,NA,NA,1,1,NA,"Forklift, Pallet Jack",1,1,NA,NA,"more space","list(lat = 47.496206, lng = -121.783115)","47.496206,","121.783115)"
"30",2018-01-13 16:35:29,"jearlrugh@coastaccess.com","Ocean Shore Food Bank","848 Anchor Ave, Ocean Shores, WA, 98569","Ocean Shores","WA",98569,"Jerry Rugh","jearlrugh@coastaccess.com","Food Lifeline",645,"Option 1",2075,"Option 1","No",10,9,10,"Fresh, Frozen","No","No","No",NA,NA,1,0,0,1,0,12,0,"Forklift, Pallet Jack, Transportation (ex. truck or van)",1,1,NA,1,"Larger warehouse and additional reach-in refrigerators and freezers. (PS, warehouse space and hours of operations only gives a choice of Option 1. We have 570 square feet of warehouse space and our hours of operation are 1-5 the first and third Thursdays of the month plus emergency food is available 10-3:45 Mon-Sat each week.)","list(lat = 47.01513, lng = -124.165333)","47.01513, ","24.165333)"
"31",2018-01-13 17:45:57,"spiritoflifelc@gmail.com","Life Care Food Bank","3901 Mullenix Road SE, Port Orchard, WA, 98367","Port Orchard","WA",98367,"Life Care Food Bank","spiritoflifelc@gmail.com","Bremerton Food Line",272,"Option 1",352,NA,"Yes",10,10,8,"Frozen, Dry","No","No","No",NA,NA,0,0,2,0,0,3,0,NA,NA,NA,NA,NA,"Commercial freezer","list(lat = 47.4691514, lng = -122.6008289)","47.4691514","-122.6008289"
"32",2018-01-13 19:17:14,"findbonnie@cocast.net","North Pacific County Food Bank","1899 Park Ave, Raymond, WA, 98577","Raymond","WA",98577,"Bonnie Ryan","findbonnie@comcast.net","Coastal Harvest",665,"Option 1",2200,"Option 1","Yes",2,5,7,"Fresh","No","No","No",NA,"NA",0,1,2,0,1,5,NA,"NA",NA,NA,NA,NA,"None we just finished a remodel and are in good shape","list(lat = 46.6938617, lng = -123.7397491)","46.6938617","-123.7397491"
"33",2018-01-14 13:47:13,"laconnersunrisefoodbank@gmail.com","LaConner Sunrise Food Bank","602 South 3rd, LaConner, WA, 98257","LaConner","WA",98257,"Susan Widdop, Director","laconnersunrisefoodbank@gmail.com","Community Action Distribution Center",400,"Option 1",300,NA,"Yes",2,8,2,"Fresh","No","No","No",NA,NA,2,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,"list(lat = 48.3896597, lng = -122.4955114)","48.3896597","-122.4955114"
"34",2018-01-14 17:50:10,"leon@center-stone.org","Centerstone","722 18th Ave, Seattle, WA, 98122","Seattle","WA",98122,"Leon Garnett","leon@center-stone.org","Solid Ground",3000,"Option 1",2900,NA,"Yes",5,6,5,"Fresh, Dry","No","No","No",0,"n/a",1,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,"list(lat = 47.6087701, lng = -122.308554)","47.6087701","-122.308554)"
"35",2018-01-15 10:25:20,"operations@mtsifb.org","Mt Si Helping Hands Food Bank","1550 Boalch Ave NW, North Bend, WA, 98045","North Bend","WA",98045,"Cate Reynolds","cate@mtsifb.org","Hopelink",1700,"Option 1",900,"Option 1","Yes",2,6,7,"Fresh, Frozen","No","Yes","No",5,"frozen meat, veggies. bulk amounts of fresh veggies/fruit.",0,1,1,1,1,2,0,"Computers or Software",NA,NA,1,NA,"A larger rent-free building in Snoqualmie, WA","list(lat = 47.5066751, lng = -121.7956161)","47.5066751","-121.7956161"
"36",2018-01-15 14:08:15,"ifth91c@aol.com","Inter-Faith Treasure House","91 C Street, Washougal, WA, 98671","Washougal","WA",98671,"Nancy Wilson","ifth91c@aol.com","Clark County Food Bank",430,"Option 1",3600,NA,"Yes",9,9,7,"Fresh, Dry","No","Yes","No",3,"Frozen meat and frozen vegetables",3,1,0,1,2,0,0,"Transportation (ex. truck or van)",NA,NA,NA,1,"Tubs to pick up fresh alliance products from grocery stores","list(lat = 45.5812541, lng = -122.3802732)","45.5812541","-122.3802732"
"37",2018-01-16 08:18:46,"mikec@familyworksseattle.org","Family Works","1501 North 4th St, Seattle, WA, 98103","Seattle","WA",98103,"Mike Cox","mikec@familyworksseattle.org","Solid Ground",3300,"Option 1",1100,NA,"Yes",6,8,7,"Fresh",NA,"Yes",NA,4.5,"Meat, Frozen Veggies",0,1,0,0,1,0,0,"Forklift",1,NA,NA,NA,"Increased space for cold storage","list(lat = 47.6323255, lng = -122.3495526)","47.6323255","-122.3495526"
"38",2018-01-16 08:18:50,"internsl@uw.edu","UW Campus Food Pantry","3931 Brooklyn Ave NE, Seattle, WA, 98105","Seattle","WA",98105,"Melodie Reece","internsl@uw.edu","University of Washington",200,"Option 1",400,"Option 1","No",1,1,9,"Fresh, Dry","Yes","No","Yes",4.5,"large bags of pet food, diapers, baby food, fresh bread",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"A full brick-and-mortar pantry location","list(lat = 47.6550783, lng = -122.3147708)","47.6550783","-122.3147708"
"39",2018-01-16 08:22:57,"casey@northhelpline.org","North Helpline Bitter Lake","13000 Linden Ave N, Seattle, WA, 98133","Seattle","WA",98133,"Casey Hobbs","casey@northhelpline.org","Solid Ground",750,"Option 1",1000,NA,"Yes",8,10,9,"Fresh","No","Yes","No",1,"We had to divert turkeys at Thanksgiving due to storage concerns",2,1,0,1,0,2,0,"Forklift",1,NA,NA,NA,NA,"list(lat = 47.7240114, lng = -122.3477452)","47.7240114","-122.3477452"
"40",2018-01-16 11:43:18,"toppcc35@gmail.com","Toppenish Community Chest Food Bank","4 North B St, Toppenish, WA, 98948","Toppenish","WA",98948,"Cecilia Chavez","toppcc35@gmail.com","OIC of Washignton",380,"2 hours 3 days per week",800,"0","Yes",4,5,5,"Fresh, Dry","No","No","No",0,"I have not refused food",1,1,0,0,1,1,0,"Computers or Software",NA,NA,1,NA,"client in take software","list(lat = 46.3773197, lng = -120.3070245)","46.3773197","-120.3070245"
"41",2018-01-16 15:31:43,"kent@socyakima.com","SOC Yakima Food Pantry","221 E Martin Luther King Jr. Blvd., Yakima, WA, 98901","Yakima","WA",98901,"Ken Trainor","kent@socyakima.com","Community Services Moses Lake",1940,"Thursdays 10:00 a.m.  - 12:00.p.m.",900,"0","Yes",5,7,5,"Fresh, Frozen, Dry","Yes","Yes","No",3.5,"Frozen french fries, Milk",0,1,0,0,1,1,0,"Forklift, Computers or Software",1,NA,1,NA,"A new facility with more floor space - not in a basement","list(lat = 46.605608, lng = -120.5048764)","46.605608,","120.5048764)"
"42",2018-01-16 15:37:31,"kent@socyakima.com","SOC Sunnyside Food Pantry","529 S 9th St, Sunnyside, WA, 98944","Sunnyside","WA",98944,"Ken Trainor","kent@socyakima.com","Community Services Moses Lake",1450,"Fridays 9:00 a.m. - 11:30 p.m.",300,"0","No",9,9,9,"Fresh, Frozen, Dry","Yes","Yes","No",5,"Milk, Frozen fries, frozen veg",0,0,6,0,0,3,0,"Computers or Software",NA,NA,1,NA,"Installing a dumbbell Waiter to allow us to store food in the basement without having to carry it up and down stairs","list(lat = 46.3226341, lng = -120.0089745)","46.3226341","-120.0089745"
"43",2018-01-16 15:43:07,"kent@socyakima.com","SOC Mabton Food Pantry","522 Main St, Mabton, WA, 98935","Mabton","WA",98935,"Ken Trainor","kent@socyakima.com","Community Services Moses Lake",1460,"Fridays 9:00 a.m. - 11:00 a.m.",900,"0","Yes",6,9,7,"Fresh, Frozen, Dry","Yes","Yes","No",3,"Milk, Eggs, frozen veg, frozen fries etc",0,1,5,0,0,4,0,"Pallet Jack, Computers or Software",NA,1,1,NA,"Walk-in freezer","list(lat = 46.2100456, lng = -119.9994389)","46.2100456","-119.9994389"
"44",2018-01-16 15:46:34,"kent@socyakima.com","SOC Wapato Food Pantry","118 Ivy St, Wapato, WA, 98951","Wapato","WA",98951,"Ken Trainor","kent@socyakima.com","Community Services Moses Lake",950,"Tuesdays and Fridays 9:00 a.m. - 11:00 a.m.",1500,"0","Yes",5,5,4,"Fresh, Frozen, Dry","No","No","No",0,"N/A",0,1,0,1,1,0,0,"Computers or Software",NA,NA,1,NA,"None at this time","list(lat = 46.3811219, lng = -120.3218741)","46.3811219","-120.3218741"
"45",2018-01-16 16:39:24,"donitamarie54@hotmail.com","The Lord's Pantry","4800 Central Park Dr,  Aberdeen, WA, 98520","Aberdeen","WA",98520,"Donita MacLean","donitamarie54@hotmail.com","Coastal Harvest",NA,"10am-12pm each 2nd and 4th Thursday monthly",500,NA,"Yes",7,8,7,"Fresh, Frozen, Dry","No","No","No",NA,"n/a",0,0,4,0,0,7,0,"n/a",NA,NA,NA,NA,"additional freezer unit","list(lat = 46.9691022, lng = -123.7374448)","46.9691022","-123.7374448"
"46",2018-01-16 18:35:45,"emagasis@jfsseattle.org","Jewish Family Service Polack Food Bank","1601 16th Ave, Seattle, WA, 98122","Seattle","WA",98122,"Esther Magasis","emagasis@jfsseattle.org","Solid Ground",4517,"Wednesday 10am-noon, Thursday 2pm-4pm, Friday 10am-noon",150,"300","Yes",6,8,8,"Fresh","Yes","Yes","Yes",NA,"Cheese, matzoh, eggnog",0,1,0,0,1,0,0,"Forklift",1,NA,NA,NA,"Refrigeration for the van, more storage, larger van, more office space","list(lat = 47.6155896, lng = -122.3118419)","47.6155896","-122.3118419"
"47",2018-01-17 06:30:28,"karenj@acrs.org","ACRS","919 S King St, Seattle, WA, 98104","Seattle","WA",98104,"Karen Jackel","karenj@acrs.org","Solid Ground",9460,"Wed and Fri 10:30-1:00",600,"0","Yes",9,9,9,"Fresh, Frozen, Dry","Yes","No","Yes",12.5,"produce, dairy, dry we had to work out a pick up schedule because could not get all at one time",0,1,1,0,1,3,0,"Forklift",1,NA,NA,NA,"a larger building","list(lat = 47.5982137, lng = -122.320193)","47.5982137","-122.320193)"
"48",2018-01-17 10:27:15,"northwhidbeyhelp@yahoo.com","North Whidbey Help (Help House)","1091 SE Hathaway St, Oak Harbor, WA, 98277","Oak Harbor","WA",98277,"Eric Mager","northwhidbeyhelp@yahoo.com","North Whidbey Help",1508,"M, W, TH, Fri: 8-12 & 1-4 /  Tu: 8-12 & 1-5",1400,NA,"Yes",3,6,4,"Dry","No","No","No",NA,NA,2,0,0,0,1,3,0,NA,NA,NA,NA,NA,"Food distribution","list(lat = 48.289561, lng = -122.647623)","48.289561,","122.647623)"
